Height_km, Temperature_K, N2_nDensity_m3, O2_nDensity_m3, N_nDensity_m3, O_nDensity_m3
172.0, 919.0, 1.2760426055755938e+16, 1476837709460475.0, 0.0, 8915850858506163.0
173.0, 924.6, 1.2259659365741338e+16, 1412125891146303.2, 0.0, 8690767765160053.0
174.0, 930.1, 1.1784312044312766e+16, 1350835707844905.2, 0.0, 8474582506762850.0
175.0, 935.4, 1.1331376160150714e+16, 1292586642667944.2, 0.0, 8265791871900360.0
176.0, 940.6, 1.089817525894825e+16, 1237042058674363.8, 0.0, 8065988866991836.0
177.0, 945.8, 1.0488130010000144e+16, 1184559556498572.5, 0.0, 7872236182002605.0
178.0, 950.8, 1.0094197495491886e+16, 1135873923218042.5, 0.0, 7684097161453116.0
179.0, 955.7, 9718463461098154.0, 1088018799146048.8, 0.0, 7503854469786139.0
180.0, 960.4, 9361117487228288.0, 1042605534017204.4, 0.0, 7327953641816088.0
181.0, 965.1, 9019564190463074.0, 1000726144054267.1, 0.0, 7158752566081087.0
182.0, 969.7, 8691099388066858.0, 959348792478463.6, 0.0, 6995755048426075.0
183.0, 974.2, 8378803125000001.0, 921107263183593.8, 0.0, 6835831567382813.0
184.0, 978.6, 8078827896151700.0, 883480399029071.6, 0.0, 6683229446176382.0
185.0, 982.9, 7792906287560097.0, 848789684589092.6, 0.0, 6534037752591647.0
186.0, 987.1, 7517478888153660.0, 815464066881572.6, 0.0, 6390099436967953.0
187.0, 991.2, 7256031883155906.0, 782841303898737.9, 0.0, 6250402221679688.0
188.0, 995.3, 7002833235567639.0, 752375212819228.9, 0.0, 6114541412118178.0
189.0, 999.2, 6760870021409254.0, 723434037428635.9, 0.0, 5982317200176532.0
190.0, 1003.1, 6528202160383433.0, 695558037055583.5, 0.0, 5854280145217827.0
191.0, 1006.9, 6306314038761409.0, 669016311899158.9, 0.0, 5731058433369217.0
192.0, 1010.6, 6092701825506118.0, 643637723773159.8, 0.0, 5609847920317978.0
193.0, 1014.3, 5886846853451976.0, 619142295307180.1, 0.0, 5492116228344684.0
194.0, 1017.8, 5689819381419703.0, 595842122721810.6, 0.0, 5379130274571901.0
195.0, 1021.3, 5500257571045895.0, 573383266729671.6, 0.0, 5266453029710346.0
196.0, 1024.8, 5318808025610855.0, 552019026950230.3, 0.0, 5159974463780543.0
197.0, 1028.1, 5142481981917542.0, 531332137492489.44, 0.0, 5054467256659323.0
198.0, 1031.5, 4973783573789020.0, 511574767174043.7, 0.0, 4952572961521130.0
199.0, 1034.7, 4812153370542420.0, 493394646712601.44, 0.0, 4853975120625564.0
200.0, 1037.9, 4656429520703985.0, 475216659964575.4, 0.0, 4756329081338876.0
